Name,z,RA_J2000,Dec _J2000,wd,wserr,p30d,p30serr,ellipd,ellipderr,etad,etaerr,c0.4R500,ec0.4R500,0.4R500_kpc/h71
,,deg ,deg,,,,,,,degrees,degrees,,,kpc/h71
ACCEPT2.0 Name,Redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Centroid shift in 20 bins inside 0.4R500,Centroid shift error,P3/P0 power law ratio (r<0.4R500),P3/P0 power law ratio,Ellipticity (ratio of minor/major axes) inside 0.4R500,Error on Ellipticity,Position Angle in degrees E of N,Position Angle error,Concentration (flux < 0.15 R500/flux < 0.4 R500),error on concentration,Rmax for the quantities in this table
PLCKESZ_G167.65+17.64,0.174,99.5162,47.7986,0.0226,0.0031,2.01E-07,9.4E-08,0.842,0.009,-78.730,1.896,0.427,0.013,462
ABELL_S0592,0.222,99.702,-53.9742,0.0134,0.0013,6.00E-09,8.8E-09,0.857,0.007,59.200,1.354,0.585,0.008,539
ABELL_3402,0.146,100.4229,-49.7947,0.1001,0.0169,2.81E-08,4.0E-07,0.934,0.025,-72.550,9.997,-,-,287
ABELL_3404,0.167,101.37,-54.2284,0.0353,0.0020,1.78E-07,5.4E-08,0.853,0.008,46.730,1.654,0.527,0.010,581
MACS_J0647.8+7015,0.5907,101.9585,70.2471,0.0694,0.0058,3.91E-08,4.9E-08,0.789,0.010,-77.440,1.561,-,-,474
ABELL_0562,0.11,103.3394,69.331,0.0359,0.0073,2.04E-08,2.1E-08,0.962,0.006,57.250,4.532,0.378,0.016,345
Bullet_Cluster,0.296,104.6276,-55.9388,0.0370,0.0040,8.52E-09,2.6E-09,0.906,0.001,-38.940,0.482,0.357,0.002,632
MACS_J0712.3+5931,0.328,108.0864,59.5389,0.0163,0.0033,9.59E-08,1.1E-07,0.878,0.017,78.520,3.432,0.566,0.022,399
MACS_J0717+3745,0.546,109.3756,37.76,0.1226,0.0061,1.35E-06,1.2E-07,0.832,0.003,-34.820,0.708,0.298,0.006,575
400d_J0720+7108,0.231,110.2248,71.1497,0.0564,0.0077,2.86E-08,1.0E-07,0.978,0.017,9.496,17.320,-,-,280
ABELL_0578,0.087,111.223,66.9854,0.0571,0.0051,3.49E-07,1.1E-07,0.946,0.008,58.600,3.905,0.356,0.040,314
ABELL_0586,0.171,113.0847,31.6325,0.0056,0.0021,4.00E-08,1.8E-08,0.942,0.009,-40.130,4.463,0.637,0.010,460
ZwCl_0735.7+7421,0.216,115.4346,74.244,0.0467,0.0029,8.03E-09,4.1E-09,0.859,0.002,-11.530,0.411,0.572,0.003,471
FBQS_J074417.4+375317,1.0686,116.0724,37.8878,0.0312,0.0067,1.14E-07,1.1E-07,0.909,0.011,51.360,3.761,-,-,308
ABELL_0598,0.189,117.855,17.5139,0.0231,0.0029,1.41E-09,1.3E-08,0.955,0.011,-43.960,8.264,0.669,0.013,400
ABELL_0611,0.288,120.237,36.0566,0.0307,0.0036,8.60E-09,1.1E-08,0.934,0.007,32.610,2.577,0.611,0.008,510
ZwCl_0806.5+2822,0.3,122.4251,28.2023,0.0350,0.0072,2.72E-07,3.6E-07,0.918,0.022,28.210,9.172,-,-,525
SDSS-C4_3062,0.064,122.5973,42.2739,0.0263,0.0038,6.74E-08,6.7E-08,0.939,0.010,-62.780,5.536,0.565,0.054,412
ABELL_0644,0.07,124.3585,-7.5088,0.0283,0.0011,9.16E-09,3.4E-09,0.859,0.003,10.460,0.524,0.621,0.003,519
MCXC_J0819.6+6336,0.119,124.858,63.6238,0.0338,0.0061,2.59E-08,3.9E-08,0.980,0.018,77.620,19.070,0.513,0.021,345
ZwCl_0823.2+0425,0.225,126.4913,4.2467,0.0255,0.0060,3.33E-08,5.9E-08,0.925,0.013,-48.710,5.305,0.508,0.023,384
