Name, Z,RA,Dec, MCK0, MCK0_68min, MCK0_68max, MCK100, MCK100_68min, MCK100_68max, MCAlpha, MCAlpha_68min, MCAlpha_68max, MCChiSq, K10kpc_mcmc, K10kpc_mcmc_min, K10kpc_mcmc_max, K20kpc_mcmc, K20kpc_mcmc_min, K20kpc_mcmc_max
,,deg ,deg,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,MCMC Median Entropy excess,MCMC Entropy excess min 1 sigma,MCMC Entropy excess max 1 sigma,MCMC Median Entropy at 100 kpc,MCMC Entropy at 100 kpc min 1 sigma,MCMC Entropy entropy at 100 kpc max 1 sigma,MCMC Entropy power law slope,MCMC min entropy power law slope,MCMC max entropy power law slope,MCMC estimated reduced chi square,MCMC Entropy at 10 kpc,MCMC Min Entropy at 10 kpc,MCMC Max Entropy at 10 kpc,MCMC Entropy at 20 kpc,MCMC Min Entropy at 20 kpc,MCMC Max Entropy at 20 kpc
MACS_J0242.6-2132,0.314,40.6495,-21.5406,9.6,7.7,11.7,94.3,89.4,98.6,1.27,1.2,1.33,0.21,14.2,12.9,15.5,20.7,19.5,21.7
ABELL_S0295,0.3,41.3616,-53.0300,189,92.4,199.4,207.4,195.2,233.3,1.98,0.85,2.13,0.48,162.2,118.1,200.1,168.4,131.8,202
ABELL_0376,0.048,41.5164,36.9055,36.3,-4.3,61.1,251.9,235.3,270.1,0.73,0.56,0.87,0.71,77.2,65.7,89.4,104.9,94.6,114.8
ABELL_0383,0.187,42.0141,-3.5293,9.8,8.3,11.3,122.5,117.9,125.4,1.17,1.13,1.21,2.57,17.4,16.6,18.2,26.9,26.1,27.6
NGC_1132,0.023,43.2158,-1.2748,-1.7,-2.7,-0.6,112,107.3,117.3,0.66,0.62,0.71,0.76,23,22,23.9,37.4,36.3,38.5
MACS_J0257-2325,0.5049,44.2880,-23.4350,78.6,46.9,97.3,201.3,188.8,216.5,1.18,1.03,1.27,0.17,82.6,61.2,103.6,94.1,75.6,112.6
ABELL_0402,0.322,44.4217,-22.1549,94.5,48.9,118.1,202.9,193.1,226.2,1.09,0.82,1.23,0.11,98.8,73.3,124.4,111.7,91.4,132.6
ABELL_0400,0.0244,44.4234,6.0243,107.9,86.5,129.4,194.4,175.1,201.6,1.69,1.18,3.41,0.81,112.3,95,129.7,116.6,103,130.6
ABELL_0399,0.072,44.4726,13.0253,129.4,44.6,172.5,340.1,330.3,354.4,0.61,0.45,0.71,3.42,176.3,148.8,206.5,206.4,185.5,228.4
ABELL_0401,0.074,44.7438,13.5788,156.7,124.6,171.4,277.1,273.3,285,0.89,0.75,0.95,3.07,166.5,151.1,183.4,181.7,168.7,194.8
MCXC_J0301.6+0155,0.17,45.4092,1.9208,10.2,8.2,11.5,116.6,113.5,121,1.19,1.13,1.22,1.17,17,15.8,18.2,26,24.9,27.2
MCXC_J0303.7-7752,0.274,45.9413,-77.8792,-146.8,-242.9,-26.9,246.7,231.1,270.8,0.61,0.5,0.77,0.33,-34.8,-89,20.7,14.3,-24.5,55
IC_1880_GROUP,0.0338,46.6186,-9.7312,4.5,3.4,5.7,201.9,174.4,234.4,1.39,1.28,1.56,0.09,12.4,11.4,13.3,25.2,23.2,27.2
ABELL_3088,0.253,46.7581,-28.6658,12.1,-0.3,23.8,188.1,176.3,200.1,0.87,0.79,0.96,0.62,36.7,30,43.2,56.4,51.2,61.8
MACS_J0308.9+2645,0.324,47.2331,26.7611,147.4,96.2,178.6,245.8,234.4,276.4,1.23,0.96,1.32,0.23,147.4,111.3,183,158.5,126.9,189.2
ABELL_3094,0.068,47.8989,-26.8985,-23.2,-163.3,20.9,267.1,257.2,287.6,0.46,0.3,0.56,0.96,75.1,54.9,95.8,116.8,101.3,133.3
ABELL_3120,0.069,50.4849,-51.3266,0.8,-6.4,8,177.5,162.4,185.9,0.83,0.72,0.95,0.25,27.3,25.3,29.3,47.1,43.6,50.6
UGC_02748,0.03,51.9757,2.5616,4,2.2,6,208.4,192.6,234,1.29,1.19,1.43,1.78,14.4,13.5,15.3,29.4,27.7,31
ABELL_3126,0.086,52.1494,-55.7180,170.4,151.4,192.7,221,211.1,236.9,1.71,1.44,1.99,0.27,174.5,153.8,193.2,177.2,158,194.8
MACS_J0329.6-0211,0.45,52.4237,-2.1966,3.2,0.1,7,124.9,118.6,129.3,1.06,1.01,1.13,0.34,14,11.9,15.9,25.3,23.8,26.7
ABELL_3128,0.06,52.4609,-52.5804,20.1,-35.1,104.2,207.9,183.3,216.9,0.46,0.32,1.21,0.14,94.2,75.3,114.7,113.3,100.1,126.3
MCXC_J0331.1-2100,0.188,52.7750,-21.0089,11.8,8.9,13.4,128.9,122.3,134.3,1.26,1.16,1.32,0.41,18,16.6,19.2,27.2,25.7,28.8
3C_089,0.139,53.5625,-1.1882,31.4,22.9,39.1,246.9,234.7,256.9,1.35,1.24,1.46,0.31,41.2,35.2,46.7,56.1,51.3,60.7
Fornax_Cluster,0.0046,54.6204,-35.4499,1.2,1.1,1.2,1660.2,1531.7,1905.5,1.4,1.38,1.43,0.79,68.4,65.1,71.4,179.4,167.5,190.9
MCXC_J0338.6+0958,0.0363,54.6713,9.9669,5.4,5.2,5.5,121.3,117.6,122.9,1.47,1.43,1.48,19.95,9.4,9.2,9.5,16.3,16.2,16.5
MCXC_J0340.8-4542,0.07,55.2241,-45.6768,263.2,263.2,263.2,326.6,326.6,326.6,0,0,0,0.46,326.6,326.6,326.6,326.6,326.6,326.6
III_Zw_054,0.029,55.3153,15.4097,64.1,47.3,76.8,138.3,132.8,144,0.99,0.74,1.23,2.4,71.5,63,80.7,79.6,73.3,86
MCXC_J0352.9+1941,0.109,58.2457,19.6830,6.9,6.4,7.3,62.1,60.1,64.1,1.4,1.37,1.46,0.66,9,8.7,9.3,12.6,12.2,12.9
MACS_J0358.8-2955,0.425,59.7263,-29.9259,28.6,2.6,47.4,193,183.4,205.3,0.7,0.6,0.78,0.56,62.3,51.8,73,83.4,75.8,91.1
ABELL_0478,0.088,63.3550,10.4653,8,6.9,9.1,132.7,130.1,134.3,1.03,1.01,1.06,2.26,19.5,19,20.1,31.6,30.9,32.3
MACS_J0416.1-2403,0.42,64.0394,-24.0655,26.1,-145,152.1,326.5,299.6,356.1,0.35,0.23,0.57,0.6,163.4,111.6,215.7,199.3,155.6,243.7
MACS_J0417.5-1154,0.44,64.3926,-11.9096,15.5,5.3,29.1,187.7,178,195.3,0.86,0.82,0.93,1.41,40.4,33,48.3,59.4,54.2,65.3
MCXC_J0419.6+0224,0.0123,64.9083,2.4102,1.3,0.9,1.9,110.9,106.6,115.5,0.78,0.75,0.81,5,19.5,19.1,20,32.6,31.8,33.2
MCXC_J0425.8-0833,0.04,66.4634,-8.5604,8.3,6.2,9.8,130.3,126.2,134.7,0.98,0.92,1.04,1.9,20.9,19.8,21.9,33.4,31.9,35
ABELL_S0463,0.039,67.1569,-53.8402,23.3,-9.1,57.6,151.8,140.7,161.1,0.54,0.37,0.8,0.85,64.1,51.8,76.3,80,68.9,91
MACS_J0429.6-0253,0.399,67.4000,-2.8854,14.4,6.6,17.8,120.3,112.6,131.7,1.18,1.03,1.27,0.31,20.4,17,23.9,30,27.4,32.6
ABELL_3266,0.0589,67.8044,-61.4537,35,-88.6,115.9,407.4,396.1,418.2,0.4,0.3,0.49,3.3,184.9,155.9,213.2,232.6,212.9,252.5
ABELL_0496,0.0329,68.4085,-13.2610,5.2,4.9,5.8,160.2,157.1,163.6,1.03,1.01,1.06,5.65,19.7,19.4,20.1,34.8,34.3,35.3
MCXC_J0437.1+0043,0.285,69.2898,0.7322,39.8,34.9,45.6,129,121.8,135,1.3,1.21,1.41,0.79,44.6,40.3,49,51.1,47.3,55
MCXC_J0439.0+0715,0.23,69.7523,7.2684,62.2,42.5,74.3,168.4,161.6,179.9,1.03,0.9,1.12,0.83,71,59.7,81.7,82.3,73,90.6
MCXC_J0439.0+0520,0.208,69.7590,5.3454,6.7,3.7,8.9,127.9,121.9,133.5,1.14,1.06,1.19,0.43,15.6,14.4,16.9,26.4,25,27.8
MCXC_J0443.1+0210,0.19,70.7914,2.1720,18,11.3,23.7,154.3,145.2,161.8,1.03,0.93,1.13,0.12,30.5,27.4,33.6,43.9,40.8,47
ABELL_3292,0.172,72.4830,-44.6731,123.9,107.8,139.4,157.5,151,169.4,1.64,1.38,1.89,0.42,125.2,110.4,140.1,127.3,113.4,141.6
WEIN_051,0.022,72.5271,45.0518,-64.5,-73.2,189.2,302.6,287.3,308.3,0.16,0.15,0.78,1.89,196.6,174.5,218.3,217.9,199.5,236.6
ABELL_0521,0.2533,73.5278,-10.2209,94.4,53.6,121.7,301.4,281.8,324.6,1.55,1.16,1.83,0.23,96.7,70.2,125.5,111.3,90.6,132.6
MCXC_J0454.1-0300,0.55,73.5471,-3.0159,217.3,162.5,241.5,251.5,236.7,270.5,1.46,1.01,1.62,0.32,207.1,170.8,243.2,211.5,178.7,244.6
ESO_552-_G_020,0.031,73.7181,-18.1154,-3.1,-14.9,6.9,202.8,192.4,213.7,0.66,0.55,0.8,0.79,42.5,38.1,47.1,68.2,61.4,75
ABELL_3322,0.2,77.5713,-45.3215,123.1,98.7,146.2,188.5,178.4,198.1,1.26,1.08,1.51,0.31,126.4,105.9,148.1,131.8,113.7,150.6
MCXC_J0510.7-0801,0.22,77.6985,-8.0275,304.4,39.3,312.3,372.9,358.5,410.6,0.76,0.2,0.66,0.77,288.3,241.4,336.3,309.1,272.3,351.4
