Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
ABELL_3094,0.068,47.8989,-26.8985,803,2.99,0.05,0.25,0.05,Wtd,1396,1022,1.4,1.68E-12,9.70E-14,1.87E-01,1.10E-02,2.51E-01,1.40E-02,0.36,0.04
ABELL_3112,0.0752,49.4905,-44.2384,1163,5.49,0.37,0.32,0.15,Wtd,5153,4097,1.3,8.79E-12,1.10E-13,1.21E+00,1.60E-02,1.75E+00,4.50E-02,0.76,0.01
ABELL_3120,0.069,50.4849,-51.3266,738,2.11,0.37,0.1,0.1,Ap,1516,1022,1.5,6.72E-13,1.20E-13,8.09E-02,1.40E-02,1.12E-01,2.00E-02,0.68,0.14
ABELL_3126,0.086,52.1494,-55.718,1063,4.81,0.33,0.36,0.09,Ap,1216,1022,1.2,5.56E-12,2.00E-13,1.02E+00,3.70E-02,1.43E+00,5.90E-02,0.53,0.03
ABELL_3128,0.06,52.4609,-52.5804,879,2.66,0.24,0.24,0.1,Wtd,1503,1022,1.5,3.09E-12,1.60E-13,2.68E-01,1.40E-02,3.60E-01,1.90E-02,0.41,0.04
ABELL_3158,0.06,55.7139,-53.6297,1077,5.52,0.38,0.39,0.1,Wtd,4951,2047,2.4,2.06E-11,2.00E-13,1.73E+00,1.70E-02,2.49E+00,6.10E-02,0.38,0.01
ABELL_3292,0.172,72.483,-44.6731,956,4.23,0.34,0.17,0.1,Ap,1345,1022,1.3,1.78E-12,8.70E-14,1.47E+00,7.20E-02,2.02E+00,1.10E-01,0.48,0.04
ABELL_3322,0.2,77.5713,-45.3215,1251,7.35,0.84,0.05,0.08,Ap,1152,1022,1.1,2.83E-12,7.30E-14,3.15E+00,8.10E-02,4.95E+00,2.80E-01,0.52,0.03
ABELL_3343,0.191,81.4534,-47.2528,1187,6.81,0.59,0.26,0.1,Ap,1164,1022,1.1,2.52E-12,8.70E-14,2.58E+00,8.90E-02,3.96E+00,1.90E-01,0.54,0.03
ABELL_3364,0.148,86.9065,-31.8712,1282,7.32,0.63,0.2,0.09,Ap,1380,1022,1.4,4.44E-12,1.20E-13,2.54E+00,7.00E-02,3.99E+00,1.90E-01,0.52,0.02
