Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
WHL_J102339.9+490838,0.144,155.9162,49.1445,1192,6.31,0.61,0.17,0.09,Ap,1075,1022,1.1,5.05E-12,1.90E-13,2.71E+00,1.00E-01,4.06E+00,2.10E-01,0.49,0.03
WHL_J114224.8+583205,0.311,175.598,58.5203,1335,8.82,0.77,0.14,0.07,Ap,1202,1022,1.2,2.31E-12,6.20E-14,6.66E+00,1.80E-01,1.12E+01,6.00E-01,0.27,0.02
WHL_J125933.4+600409,0.33,194.8877,60.0706,1118,6.59,0.61,0.15,0.07,Ap,3297,3072,1.1,9.52E-13,4.30E-14,3.25E+00,1.50E-01,4.94E+00,2.90E-01,0.2,0.02
WHL_J131505.2+514902,0.291,198.7682,51.8201,1261,7.78,0.77,0.17,0.08,Ap,1110,1022,1.1,2.22E-12,6.60E-14,5.57E+00,1.70E-01,8.93E+00,4.90E-01,0.45,0.03
WHL_J135949.5+623047,0.322,209.9609,62.518,1113,6.56,0.62,0.22,0.09,Ap,1489,1022,1.5,1.05E-12,3.40E-14,3.40E+00,1.10E-01,5.15E+00,2.50E-01,0.57,0.03
WHL_J141623.8+444528,0.386,214.1161,44.7792,793,3.52,0.32,0.58,0.28,Ap,1083,1022,1.1,2.48E-13,2.40E-14,1.33E+00,1.30E-01,1.77E+00,1.70E-01,0.52,0.09
WHL_J142716.1+440730,0.498,216.8172,44.1252,1271,10.26,1.64,0.28,0.15,Ap,2576,2047,1.3,7.08E-13,3.90E-14,5.92E+00,3.20E-01,1.06E+01,1.20E+00,0.66,0.05
WHL_J150407.5-024816,0.215,226.0311,-2.8045,1383,8.71,0.8,0.22,0.05,Wtd,2791,2047,1.4,6.14E-12,9.20E-14,8.17E+00,1.20E-01,1.37E+01,6.90E-01,0.83,0.01
ZwCl_0008.8+5215,0.104,2.8647,52.5265,1026,4.64,0.33,0.16,0.1,Ap,1267,1022,1.2,2.33E-12,6.20E-14,7.65E-01,2.00E-02,1.07E+00,3.60E-02,0.33,0.03
ZwCl_0735.7+7421,0.216,115.4346,74.244,1167,6.55,0.61,0.34,0.11,Wtd,4931,4097,1.2,2.48E-12,2.30E-14,3.31E+00,3.00E-02,5.01E+00,1.90E-01,0.57,0.01
ZwCl_0823.2+0425,0.225,126.4913,4.2467,951,4.53,0.59,0.49,0.19,Ap,1266,1022,1.2,9.77E-13,6.90E-14,1.46E+00,1.00E-01,2.02E+00,1.60E-01,0.51,0.06
ZwCl_0857.9+2107,0.23,135.1535,20.8944,946,4.46,0.19,0.32,0.18,Wtd,1020,1022,1,1.13E-12,4.50E-14,1.80E+00,7.20E-02,2.49E+00,1.00E-01,0.77,0.03
ZwCl_0949.6+5207,0.214,148.2056,51.8842,1093,5.43,0.62,0.33,0.1,Wtd,2111,2047,1,1.40E-12,3.10E-14,1.81E+00,4.00E-02,2.60E+00,1.10E-01,0.69,0.02
ZwCl_1006.1+1201,0.221,152.1981,11.7908,1103,5.86,0.46,0.31,0.03,Wtd,2294,2047,1.1,1.72E-12,4.70E-14,2.45E+00,6.70E-02,3.59E+00,1.40E-01,0.42,0.02
a1750ss,0.091,202.5397,-2.0986,701,2.66,0.22,0.32,0.13,Ap,1132,1022,1.1,5.01E-13,4.30E-14,1.08E-01,9.20E-03,1.44E-01,1.20E-02,0.3,0.09
