Names,Redshift,NH,RA,Dec,XP_RAdeg,XP_Dedeg,Offset,CenterIDFlag,ProfileFlag,OBSIDs
, ,10+22cm^-2,deg ,deg,deg,deg,arcsec, ,,
ACCEPT2.0 Name,NED Redshift,Galactic Hydrogen Column (Stark et al. 1992),ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,ACCEPT2.0 X-ray Peak RA J2000,ACCEPT2.0 X-ray Peak Dec J2000,Difference between peak and aperture center,if peak or centroid centered ,Y means an entropy profile is in Table 5/6,Chandra ObsIDs used in the ACCEPT2.0 analysis
ABELL_3128,0.06,0.0149,52.4609,-52.5804,52.4605,-52.5801,1.4,peak,Y,     893
MCXC_J0331.1-2100,0.188,0.0245,52.775,-21.0089,52.7751,-21.0092,0.8,peak,Y,   10790    9415
SPT-CLJ0334-4659,0.485,0.016,53.546,-46.996,53.546,-46.996,0,peak,N,   13470
3C_089,0.139,0.0726,53.5625,-1.1882,53.5625,-1.1882,0,peak,Y,   14028   14379
Fornax_Cluster,0.0046,0.0149,54.6204,-35.4499,54.6204,-35.4499,0.1,peak,Y,    4172
MCXC_J0338.6+0958,0.0363,0.1814,54.6713,9.9669,54.6713,9.9669,0.2,peak,Y,    7939    9792     919
400d_J0340-2840,0.068,0.0087,55.105,-28.6774,55.0988,-28.6837,30,centroid,N,    9385
MCXC_J0340.8-4542,0.07,0.0162,55.2241,-45.6768,55.2241,-45.6765,1,peak,Y,    6954
III_Zw_054,0.029,0.1615,55.3153,15.4097,55.3229,15.3985,48,centroid,Y,    4182
ABELL_3158,0.06,0.014,55.7139,-53.6297,55.7278,-53.6234,37.2,centroid,N,    3201    3712
ACT-CL_J0346-5438,0.55,0.0167,56.7326,-54.6485,56.7331,-54.6488,1.4,peak,N,   12270   13155
SPT-CLJ0352-5647,0.67,0.0256,58.2416,-56.7955,58.2416,-56.7955,0,peak,N,   13490
MCXC_J0352.9+1941,0.109,0.139,58.2457,19.683,58.2437,19.6819,7.9,centroid,Y,   10466
MACS_J0358.8-2955,0.425,0.0102,59.7263,-29.9259,59.719,-29.9303,27.6,centroid,Y,   11719   12300   13194
400d_J0405-4100,0.686,0.0202,61.3517,-41.0054,61.3517,-41.0057,1,peak,N,    7191
ABELL_0478,0.088,0.1506,63.355,10.4653,63.3556,10.4653,2.1,peak,Y,    1669
MACS_J0416.1-2403,0.42,0.0316,64.0394,-24.0655,64.0393,-24.0669,4.9,peak,Y,   10446   16237
SPT-CL_J0417-4748,0.62,0.0182,64.3465,-47.8134,64.3465,-47.8134,0,peak,N,   13397
MACS_J0417.5-1154,0.44,0.0388,64.3926,-11.9096,64.3945,-11.9091,6.9,centroid,Y,    3270   12010   11759
MCXC_J0419.6+0224,0.0123,0.1121,64.9083,2.4102,64.9088,2.4099,2.1,peak,Y,    3186    3187
MCXC_J0425.8-0833,0.04,0.0624,66.4634,-8.5604,66.4636,-8.5601,1.4,peak,Y,    4183
SPT-CLJ0426-5455,0.63,0.0151,66.5191,-54.9116,66.5191,-54.9116,0,peak,N,   13472
ABELL_S0463,0.039,0.011,67.1569,-53.8402,67.1559,-53.8418,6.2,centroid,Y,    7250    6956
MACS_J0429.6-0253,0.399,0.0587,67.4,-2.8854,67.4004,-2.8858,2,peak,Y,    3271
ABELL_3266,0.0589,0.0157,67.8044,-61.4537,67.8054,-61.4535,2,peak,Y,     899
ABELL_0496,0.0329,0.0481,68.4085,-13.261,68.4085,-13.261,0.1,peak,Y,    4976
MCXC_J0437.1+0043,0.285,0.0798,69.2898,0.7322,69.2898,0.7322,0,peak,Y,    7900   11729
MCXC_J0439.0+0715,0.23,0.111,69.7523,7.2684,69.753,7.2688,2.7,peak,Y,    3583
MCXC_J0439.0+0520,0.208,0.1031,69.759,5.3454,69.7592,5.3453,0.9,peak,Y,     527    9369
MCXC_J0443.1+0210,0.19,0.0991,70.7914,2.172,70.7915,2.1719,0.5,peak,Y,    4196
ABELL_0514,0.071,0.0319,72.007,-20.4478,72.0172,-20.4519,37.5,centroid,N,    3578
ABELL_3292,0.172,0.0186,72.483,-44.6731,72.4841,-44.6725,3.5,peak,Y,    9417
WEIN_051,0.022,0.7014,72.5271,45.0518,72.5271,45.051,2.9,peak,Y,    2219
MACS_J0451.9+0006,0.43,0.0744,72.9766,0.1055,72.9766,0.1055,0,peak,N,    5815
ABELL_0521,0.2533,0.0592,73.5278,-10.2209,73.5264,-10.2214,5.1,centroid,Y,   13190     430   12880     901
MCXC_J0454.1-0300,0.55,0.0523,73.5471,-3.0159,73.5459,-3.0145,6.7,centroid,Y,     902
ESO_552-_G_020,0.031,0.0408,73.7181,-18.1154,73.718,-18.1157,1.2,peak,Y,    3206
MACS_J0455.2+0657,0.425,0.0962,73.822,6.9634,73.822,6.9634,0,peak,N,    5812
SPT-CLJ0456-5116,0.562,0.0194,74.1149,-51.2789,74.1149,-51.2789,0,peak,N,   13474
SPT-CL_J0509-5342,0.463,0.0578,77.3385,-53.7035,77.3366,-53.7024,5.6,centroid,N,    9432
ABELL_3322,0.2,0.0293,77.5713,-45.3215,77.5705,-45.3212,2.2,peak,Y,   15111
MCXC_J0510.7-0801,0.22,0.083,77.6985,-8.0275,77.6985,-8.0275,0,peak,Y,   14011
ABELL_3330,0.092,0.025,78.6647,-49.0581,78.6688,-49.0546,16.1,centroid,N,    4980
ABELL_0539,0.028,0.1279,79.1557,6.4406,79.1556,6.4403,0.9,peak,N,    7209    5808
ABELL_S0520,0.295,0.0647,79.1571,-54.5131,79.1571,-54.5131,0,peak,Y,   15099    9331
MCXC_J0520.7-1328,0.34,0.0854,80.1751,-13.4803,80.1752,-13.4804,0.3,peak,Y,    3272
CXOU_J052215-481816,0.296,0.0385,80.5635,-48.3045,80.5611,-48.3039,6.2,centroid,N,    4208
ABELL_3343,0.191,0.0409,81.4534,-47.2528,81.453,-47.2528,1,peak,Y,   15122
MCXC_J0528.2-2942,0.158,0.0183,82.0607,-29.7219,82.0613,-29.7208,4.4,peak,Y,    9418
RBS_0653,0.284,0.0235,82.2209,-39.4705,82.221,-39.471,1.7,peak,Y,   15177    4994   15658
PLCKESZ_G286.58-31.25,0.21,0.0879,82.8695,-75.1768,82.8684,-75.1793,8.9,centroid,Y,   15115
ABELL_0545,0.154,0.1142,83.1057,-11.5422,83.1054,-11.5424,1.4,peak,Y,   13998
MCXC_J0532.9-3701,0.275,0.0279,83.2314,-37.0264,83.2314,-37.0264,0,peak,Y,   15112
ESO3060170-A,0.036,0.0321,85.0278,-40.8366,85.0279,-40.8369,1,peak,Y,    3188    3189
RDCS_J0542-4100,0.64,0.0359,85.7091,-40.9996,85.707,-40.9994,6,centroid,N,     914
MCXC_J0547.0-3904,0.21,0.0403,86.7563,-39.074,86.7566,-39.0745,1.9,peak,Y,    3273
ABELL_3364,0.148,0.0203,86.9065,-31.8712,86.9071,-31.8732,7.3,centroid,Y,    9419
ABELL_0548A,0.04,0.019,87.1596,-25.4779,87.1596,-25.4779,0,peak,Y,   12273
SPT-CL_J0551-5709,0.423,0.064,87.8876,-57.1491,87.8876,-57.1491,0,peak,N,   11743   11871
ABELL_0550,0.099,0.0439,88.2159,-21.0536,88.2147,-21.0536,3.9,peak,Y,   15307
MACS_J0553.4-3342,0.407,0.0276,88.3574,-33.7085,88.3653,-33.7104,24.6,centroid,Y,   12244
SPT-CL_J0559-5249,0.611,0.0566,89.9283,-52.8309,89.9292,-52.8298,4.4,peak,N,   13117   13116   12264
ABELL_3376,0.046,0.0503,90.548,-39.9498,90.549,-39.9497,2.7,peak,N,    3450    3202
ABELL_3378,0.141,0.0432,91.4749,-35.3022,91.4749,-35.3022,0,peak,Y,   15315
SPT-CL_J0615-5746,0.972,0.0458,93.9661,-57.7794,93.9661,-57.7794,0,peak,Y,   14351   14437   14349   14018
CIZA_J0616.3-2156,0.171,0.107,94.1033,-21.9383,94.1033,-21.9383,0,peak,Y,   15100
ABELL_S0579,0.152,0.0724,94.1339,-39.7968,94.1339,-39.7968,0,peak,Y,   15126
ACT-CL_J0616-5227,0.71,0.0513,94.1427,-52.4521,94.1423,-52.4529,3.1,peak,N,   13127   12261
G139.59+24.18,0.27,0.0766,95.4541,74.7014,95.4541,74.7014,0,peak,Y,   15139
ABELL_3391,0.051,0.0548,96.5785,-53.6926,96.5896,-53.6958,26.4,centroid,Y,    4943
ABELL_3395_SW,0.051,0.0692,96.6806,-54.5435,96.7019,-54.5498,49.9,centroid,Y,    4944
ABELL_3399,0.203,0.0697,99.3088,-48.4719,99.3105,-48.4719,3.9,peak,Y,   15125
PLCKESZ_G167.65+17.64,0.174,0.1116,99.5162,47.7986,99.5154,47.7983,2.2,peak,Y,   14388
ABELL_S0592,0.222,0.0646,99.702,-53.9742,99.7025,-53.974,1.4,peak,Y,    9420
ABELL_3402,0.146,0.0457,100.4229,-49.7947,100.4102,-49.7844,47.6,centroid,N,   12267
ABELL_3404,0.167,0.0654,101.37,-54.2284,101.3709,-54.2286,2.2,peak,Y,   15301
MACS_J0647.8+7015,0.5907,0.052,101.9585,70.2471,101.9585,70.2471,0,peak,Y,    3196    3584
ABELL_0562,0.11,0.0527,103.3394,69.331,103.3397,69.3309,0.4,peak,Y,    6936
Bullet_Cluster,0.296,0.0637,104.6276,-55.9388,104.6235,-55.9444,21.7,centroid,N,    3184    5356    5361    4984
MACS_J0712.3+5931,0.328,0.0555,108.0864,59.5389,108.0853,59.5387,2.2,peak,N,   11709
MACS_J0717+3745,0.546,0.0706,109.3756,37.76,109.3819,37.7551,25,centroid,Y,    4200   16235    1655
400d_J0720+7108,0.231,0.0388,110.2248,71.1497,110.2231,71.1491,2.8,peak,N,   13984   14449   14450
ABELL_0576,0.0389,0.0558,110.3766,55.7616,110.3766,55.7617,0.2,peak,Y,    3289
ABELL_0578,0.087,0.044,111.223,66.9854,111.223,66.9854,0,peak,Y,   11749   12225
ABELL_0586,0.171,0.0494,113.0847,31.6325,113.0848,31.6329,1.5,peak,Y,   11723     530
ZwCl_0735.7+7421,0.216,0.0357,115.4346,74.244,115.4344,74.244,0.4,peak,Y,    4197   10822   10470   10469
FBQS_J074417.4+375317,1.0686,0.0564,116.0724,37.8878,116.0725,37.8878,0.3,peak,Y,    9775    9774    9408    9407
MACS_J0744.9+3927,0.698,0.0276,116.2201,39.4573,116.22,39.4568,1.7,peak,Y,    3197    3585    6111
PKS_0745-19,0.103,0.4328,116.8795,-19.2947,116.881,-19.2944,5.1,centroid,Y,   12881
WBL_154,0.022,0.0513,117.8364,50.2339,117.8377,50.2353,5.7,centroid,N,   15170
ABELL_0598,0.189,0.0394,117.855,17.5139,117.8504,17.5147,16,centroid,Y,   10442
ABELL_0611,0.288,0.0495,120.237,36.0566,120.2368,36.0567,0.5,peak,Y,    3194
ZwCl_0806.5+2822,0.3,0.0379,122.4251,28.2023,122.4288,28.2075,22.1,centroid,N,    5774
SDSS-C4_3062,0.064,0.0494,122.5973,42.2739,122.5951,42.2739,5.9,centroid,Y,   13986
ABELL_0644,0.07,0.0651,124.3585,-7.5088,124.3551,-7.5111,14.8,centroid,Y,    2211
MCXC_J0819.6+6336,0.119,0.0416,124.858,63.6238,124.8584,63.624,1,peak,Y,    2199
NGC_2563_GROUP,0.0163,0.0426,125.1485,21.0679,125.1485,21.0679,0.1,peak,Y,    7925
UGCl_120,0.029,0.0276,125.8402,4.3726,125.8402,4.3726,0,peak,Y,   15161
ZwCl_0823.2+0425,0.225,0.0271,126.4913,4.2467,126.491,4.247,1.4,peak,Y,   10441
ABELL_0665,0.182,0.0425,127.7468,65.8395,127.7468,65.8389,2.2,peak,N,   12286    3586   13201
2MFGC_06756,0.241,0.0404,128.7284,55.5722,128.7289,55.5725,1.4,peak,Y,    4940
400d_J0838+1948,0.123,0.0319,129.6288,19.8055,129.6288,19.8042,4.9,peak,N,    9397
ABELL_3411,0.169,0.0542,130.4664,-17.4627,130.4664,-17.4627,0,peak,Y,   15316   13378
NSC_J084254+292723,0.194,0.0422,130.7329,29.4576,130.7332,29.4575,0.8,peak,Y,    2224
ABELL_0697,0.282,0.0337,130.7399,36.3664,130.7398,36.366,1.3,peak,Y,    4217
RX_J0848.8+4455,0.543,0.0273,132.199,44.9378,132.199,44.9381,1,peak,N,    1708     927
ZwCL_0847.2+3617,0.378,0.0309,132.5278,36.0712,132.5278,36.0712,0,peak,Y,    1659
ZwCl_0848.5+3341,0.371,0.0309,132.9121,33.5188,132.9124,33.5191,1.4,peak,N,    4205
ZwCl_0857.9+2107,0.23,0.0337,135.1535,20.8944,135.1535,20.8945,0.7,peak,Y,   10463
ABELL_0744,0.073,0.0365,136.8355,16.6517,136.8352,16.6517,0.8,peak,Y,    6947
SDSS_+137.3+11.0+0.18,0.18,0.0361,137.3031,10.9748,137.3031,10.9756,2.7,peak,Y,     924
ABELL_0754,0.0542,0.045,137.3273,-9.6859,137.3258,-9.686,5.4,centroid,N,     577   10743
MACS_J0911.2+1746,0.505,0.0373,137.7988,17.7757,137.7988,17.7757,0,peak,N,    5012    3587
HCG_037,0.022,0.023,138.4146,29.9928,138.413,29.9952,10.1,centroid,N,    5789
2MASSi_J0913454+405628,0.442,0.0114,138.4395,40.9413,138.4405,40.9416,3.1,peak,Y,   10445
ABELL_0773,0.217,0.015,139.4711,51.728,139.469,51.7273,5.3,centroid,Y,     533    5006
Hydra_A,0.055,0.0484,139.5246,-12.0957,139.5249,-12.0955,1.4,peak,Y,    4970    4969     576
WHL_J091834.3+295318,0.289,0.0215,139.6502,29.8919,139.6502,29.8917,1,peak,N,   12186
NSC_J092017+303027,0.258,0.0191,140.1118,30.4927,140.1105,30.4938,5.6,centroid,Y,   15128
WHL_J092207.6+034558,0.28,0.0356,140.5428,3.7775,140.5422,3.777,2.8,peak,N,   11768
ABELL_0795,0.136,0.0352,141.0241,14.1739,141.0241,14.1736,1,peak,Y,   11734
400d_J0926+1242,0.489,0.035,141.6531,12.7178,141.6531,12.7178,0,peak,N,    4929    5838
UGC_05088_GROUP,0.027,0.0147,143.3573,34.0481,143.357,34.0481,1,peak,Y,    3227
WHL_J093820.9+520243,0.36,0.0136,144.5847,52.0484,144.5847,52.0482,1,peak,Y,   15137   16573
ABELL_0853,0.166,0.0349,145.5609,15.3818,145.5612,15.3807,4.1,peak,N,   12250
ABELL_0868,0.153,0.0376,146.3589,-8.6568,146.3589,-8.6568,0,peak,Y,   15109
GALEX_J094712.4+762313,0.354,0.0221,146.8028,76.3871,146.8029,76.3871,0.2,peak,Y,    2202    7902
MACS_J0949.8+1708,0.383,0.0319,147.4652,17.1187,147.4657,17.1187,2,peak,N,    3274
ZwCl_0949.6+5207,0.214,0.0088,148.2056,51.8842,148.2049,51.8848,2.5,peak,Y,    3195   12903
XMMU_J0954+1738,0.828,0.0318,148.5707,17.6349,148.571,17.6346,1.4,peak,N,   12890   13215
400d_J0956+4107,0.587,0.0058,149.0114,41.1226,149.0117,41.1224,1.4,peak,N,    5294    5759
ABELL_0907,0.153,0.0531,149.5917,-11.064,149.5914,-11.0641,1.1,peak,Y,    3185    3205     535
PLCKESZ_G264.41+19.48,0.24,0.059,150.0067,-30.2772,150.0067,-30.277,1,peak,Y,   15132
HCG_042,0.0133,0.0479,150.0593,-19.6363,150.0593,-19.6363,0.1,peak,Y,    3215
MCXC_J1000.5+4409,0.154,0.0108,150.1307,44.1458,150.1334,44.1444,8.8,centroid,Y,    9421
MACS_J1006.9+3200,0.359,0.0172,151.728,32.0286,151.7277,32.0277,3.1,peak,N,    5819
ZwCl_1006.1+1201,0.221,0.0369,152.1981,11.7908,152.1978,11.7934,9.4,centroid,Y,   13390     925
MCXC_J1010.5-1239,0.301,0.0676,152.6355,-12.6633,152.6346,-12.6658,9.3,centroid,Y,     926
ABELL_0963,0.206,0.014,154.2652,39.0471,154.2656,39.047,1.2,peak,Y,     903
ABELL_0970,0.059,0.0532,154.3481,-10.6851,154.3476,-10.6859,3.6,peak,Y,   12285
MCXC_J1022.0+3830,0.049,0.0141,155.5416,38.523,155.5418,38.5232,0.9,peak,Y,    6942
ABELL_0980,0.158,0.0109,155.6182,50.1061,155.6182,50.1061,0,peak,Y,   15105
BLOX_J1023.6+0411.1,0.291,0.0294,155.9154,4.1863,155.9156,4.1856,2.8,peak,Y,    9371     909
WHL_J102339.9+490838,0.144,0.0108,155.9162,49.1445,155.9162,49.1445,0,peak,Y,   15114
ABELL_3444,0.253,0.0546,155.9592,-27.2564,155.9592,-27.2566,0.8,peak,Y,    9400
SDSS_J1029+2623,0.584,0.0179,157.3007,26.3931,157.3007,26.3931,0,peak,N,   11755
